Model,RMSE ($),MAE ($),R² Score,MAPE (%)
Random Forest,2.733902317253795,1.5764923033714322,0.6592071866323568,1.7290248647263176
Gradient Boosting,2.5276107818104285,1.4391120731869715,0.7086970786148474,1.5785780172147263
Linear Regression,0.1954629364870448,0.13929227573801073,0.99825797942728,0.16420834582398897
